title,keywords,everything,topic,authors,journal,links,full_title
learning soft tissue behavior of organs for surgical navigation with convolutional neural networks.,biomechanical model convolutional neural network organ deformation soft tissue surgical navigation,learning soft tissue behavior of organs for surgical navigation with convolutional neural networks.,NEURAL,"Pfeiffer M, Riediger C, Weitz J, Speidel S,",*International journal of computer assisted radiology and surgery*,* [Learning soft tissue behavior of organs for surgical navigation with convolutional neural networks.](https://www.ncbi.nlm.nih.gov/pubmed/30993520),Learning soft tissue behavior of organs for surgical navigation with convolutional neural networks.
neuronal activity in non-lnv clock cells is required to produce free-running rest:activity rhythms in drosophila., lnd circadian circuit slnv,neuronal activity in non-lnv clock cells is required to produce free-running rest:activity rhythms in drosophila.,NEURAL,"Bulthuis N, Spontak KR, Kleeman B, Cavanaugh DJ,",*Journal of biological rhythms*,* [Neuronal Activity in Non-LNv Clock Cells Is Required to Produce Free-Running Rest:Activity Rhythms in Drosophila.](https://www.ncbi.nlm.nih.gov/pubmed/30994046),Neuronal Activity in Non-LNv Clock Cells Is Required to Produce Free-Running Rest:Activity Rhythms in Drosophila.
"adult neural progenitor cells transplanted into spinal cord injury differentiate into oligodendrocytes, enhance myelination, and contribute to recovery.",global transcriptomal changes hindlimb locomotor function myelination neural progenitor cells neuroinflammation oligodendrocyte regeneration spinal cord injury transplantation,"adult neural progenitor cells transplanted into spinal cord injury differentiate into oligodendrocytes, enhance myelination, and contribute to recovery.",NEURAL,"Sankavaram SR, Hakim R, Covacu R, Frostell A, Neumann S, Svensson M, Brundin L,",*Stem cell reports*,"* [Adult Neural Progenitor Cells Transplanted into Spinal Cord Injury Differentiate into Oligodendrocytes, Enhance Myelination, and Contribute to Recovery.](https://www.ncbi.nlm.nih.gov/pubmed/31031190)","Adult Neural Progenitor Cells Transplanted into Spinal Cord Injury Differentiate into Oligodendrocytes, Enhance Myelination, and Contribute to Recovery."
electrophysiological properties of adult zebrafish oligodendrocyte progenitor cells.,adult zebrafish electrophysiology glutamate receptors in vitro ion channels oligodendrocyte progenitor cells patch-clamp spinal cord,electrophysiological properties of adult zebrafish oligodendrocyte progenitor cells.,NEURAL,"Tsata V, Kroehne V, Reinhardt S, El-Armouche A, Brand M, Wagner M, Reimer MM,",*Frontiers in cellular neuroscience*,* [Electrophysiological Properties of Adult Zebrafish Oligodendrocyte Progenitor Cells.](https://www.ncbi.nlm.nih.gov/pubmed/31031593),Electrophysiological Properties of Adult Zebrafish Oligodendrocyte Progenitor Cells.
accumbal adenosine a 2a receptors enhance cognitive flexibility by facilitating strategy shifting.,adenosine a2a receptors attention attentional set-shifting dorsomedial striatum motivation nucleus accumbens reversal learning,accumbal adenosine a 2a receptors enhance cognitive flexibility by facilitating strategy shifting.,NEURAL,"Zhou J, Wu B, Lin X, Dai Y, Li T, Zheng W, Guo W, Vakal S, Chen X, Chen JF,",*Frontiers in cellular neuroscience*,* [Accumbal Adenosine A<sub>2A</sub> Receptors Enhance Cognitive Flexibility by Facilitating Strategy Shifting.](https://www.ncbi.nlm.nih.gov/pubmed/31031594),Accumbal Adenosine A<sub>2A</sub> Receptors Enhance Cognitive Flexibility by Facilitating Strategy Shifting.
mir-543-3p promotes locomotor function recovery after spinal cord injury by inhibiting the expression of tumor necrosis factor superfamily member 15 in rats.,,mir-543-3p promotes locomotor function recovery after spinal cord injury by inhibiting the expression of tumor necrosis factor superfamily member 15 in rats.,NEURAL,"Li XZ, Lv CL, Shi JG, Zhang CX,",*European review for medical and pharmacological sciences*,* [MiR-543-3p promotes locomotor function recovery after spinal cord injury by inhibiting the expression of tumor necrosis factor superfamily member 15 in rats.](https://www.ncbi.nlm.nih.gov/pubmed/31002119),MiR-543-3p promotes locomotor function recovery after spinal cord injury by inhibiting the expression of tumor necrosis factor superfamily member 15 in rats.
imaging localized neuronal activity at fast time scales through biomechanics.,,imaging localized neuronal activity at fast time scales through biomechanics.,NEURAL,"Patz S, Fovargue D, Schregel K, Nazari N, Palotai M, Barbone PE, Fabry B, Hammers A, Holm S, Kozerke S, Nordsletten D, Sinkus R,",*Science advances*,* [Imaging localized neuronal activity at fast time scales through biomechanics.](https://www.ncbi.nlm.nih.gov/pubmed/31001585),Imaging localized neuronal activity at fast time scales through biomechanics.
"acute and post-acute neuromodulation induces stroke recovery by promoting survival signaling, neurogenesis, and pyramidal tract plasticity.",apoptosis cerebral ischemia neurodegeneration rtms tissue remodeling,"acute and post-acute neuromodulation induces stroke recovery by promoting survival signaling, neurogenesis, and pyramidal tract plasticity.",NEURAL,"Caglayan AB, Beker MC, Caglayan B, Yalcin E, Caglayan A, Yulug B, Hanoglu L, Kutlu S, Doeppner TR, Hermann DM, Kilic E,",*Frontiers in cellular neuroscience*,"* [Acute and Post-acute Neuromodulation Induces Stroke Recovery by Promoting Survival Signaling, Neurogenesis, and Pyramidal Tract Plasticity.](https://www.ncbi.nlm.nih.gov/pubmed/31031599)","Acute and Post-acute Neuromodulation Induces Stroke Recovery by Promoting Survival Signaling, Neurogenesis, and Pyramidal Tract Plasticity."
effects of n-ethylpentylone on locomotor activity and anxiety-like behavior in rats.,,effects of n-ethylpentylone on locomotor activity and anxiety-like behavior in rats.,NEURAL,"Li J, Lin Z, Tao X, Huang Z, Zhang Y, Zheng S, Wang H, Rao Y,",*Behavioural pharmacology*,* [Effects of N-ethylpentylone on locomotor activity and anxiety-like behavior in rats.](https://www.ncbi.nlm.nih.gov/pubmed/31033523),Effects of N-ethylpentylone on locomotor activity and anxiety-like behavior in rats.
both ketamine and nbqx attenuate alcohol-withdrawal induced depression in male rats.,ampa antagonist bdnf nmda antagonist alcohol use disorder depressive behavior glutamate receptors hippocampus kainate antagonist,both ketamine and nbqx attenuate alcohol-withdrawal induced depression in male rats.,NEURAL,"Getachew B, Tizabi Y,",*Journal of drug and alcohol research*,* [Both Ketamine and NBQX Attenuate Alcohol-Withdrawal Induced Depression in Male Rats.](https://www.ncbi.nlm.nih.gov/pubmed/31032138),Both Ketamine and NBQX Attenuate Alcohol-Withdrawal Induced Depression in Male Rats.
mu opioid receptors in the medial habenula contribute to naloxone aversion.,,mu opioid receptors in the medial habenula contribute to naloxone aversion.,NEURAL,"Boulos LJ, Ben Hamida S, Bailly J, Maitra M, Ehrlich AT, Gavériaux-Ruff C, Darcq E, Kieffer BL,",*Neuropsychopharmacology : official publication of the American College of Neuropsychopharmacology*,* [Mu opioid receptors in the medial habenula contribute to naloxone aversion.](https://www.ncbi.nlm.nih.gov/pubmed/31005059),Mu opioid receptors in the medial habenula contribute to naloxone aversion.
studies on long term behavioural changes in group-housed rat models of brain and spinal cord injury using an automated home cage recording system.,3rs behaviour neurotrauma spinal cord injury traumatic brain injury,studies on long term behavioural changes in group-housed rat models of brain and spinal cord injury using an automated home cage recording system.,NEURAL,"Yip PK, Chapman GE, Sillito RR, Ip THR, Akhigbe G, Becker SC, Price AW, Michael-Titus AT, Armstrong JD, Tremoleda JL,",*Journal of neuroscience methods*,* [Studies on long term behavioural changes in group-housed rat models of brain and spinal cord injury using an automated home cage recording system.](https://www.ncbi.nlm.nih.gov/pubmed/30991030),Studies on long term behavioural changes in group-housed rat models of brain and spinal cord injury using an automated home cage recording system.
"the effects of short-term and long-term environmental enrichment on locomotion, mood-like behavior, cognition and hippocampal gene expression.",anxiety cognition depression environmental enrichment gene,"the effects of short-term and long-term environmental enrichment on locomotion, mood-like behavior, cognition and hippocampal gene expression.",NEURAL,"Singhal G, Morgan J, Jawahar MC, Corrigan F, Jaehne EJ, Toben C, Breen J, Pederson SM, Hannan AJ, Baune BT,",*Behavioural brain research*,"* [The effects of short-term and long-term environmental enrichment on locomotion, mood-like behavior, cognition and hippocampal gene expression.](https://www.ncbi.nlm.nih.gov/pubmed/31004685)","The effects of short-term and long-term environmental enrichment on locomotion, mood-like behavior, cognition and hippocampal gene expression."
self-administration of edible δ<sup>9</sup>-tetrahydrocannabinol and associated behavioral effects in mice.,cannabinoid edible oral self-administration sex difference δ(9)-tetrahydrocannabinol,self-administration of edible δ<sup>9</sup>-tetrahydrocannabinol and associated behavioral effects in mice.,NEURAL,"Smoker MP, Mackie K, Lapish CC, Boehm SL,",*Drug and alcohol dependence*,* [Self-administration of edible Δ<sup>9</sup>-tetrahydrocannabinol and associated behavioral effects in mice.](https://www.ncbi.nlm.nih.gov/pubmed/31029878),Self-administration of edible Δ<sup>9</sup>-tetrahydrocannabinol and associated behavioral effects in mice.
mirtazapine attenuates anxiety- and depression-like behaviors in rats during cocaine withdrawal.,cocaine withdrawal antidepressant anxiety-like behavior depression-like behavior mirtazapine,mirtazapine attenuates anxiety- and depression-like behaviors in rats during cocaine withdrawal.,NEURAL,"Barbosa Méndez S, Salazar-Juárez A,","*Journal of psychopharmacology (Oxford, England)*",* [Mirtazapine attenuates anxiety- and depression-like behaviors in rats during cocaine withdrawal.](https://www.ncbi.nlm.nih.gov/pubmed/31012359),Mirtazapine attenuates anxiety- and depression-like behaviors in rats during cocaine withdrawal.
cholinergic neurons of the medial septum are crucial for sensorimotor gating.,,cholinergic neurons of the medial septum are crucial for sensorimotor gating.,NEURAL,"Jin J, Cheng J, Lee KW, Amreen B, McCabe K, Pitcher C, Liebmann T, Greengard P, Flajolet M,",*The Journal of neuroscience : the official journal of the Society for Neuroscience*,* [Cholinergic neurons of the medial septum are crucial for sensorimotor gating.](https://www.ncbi.nlm.nih.gov/pubmed/31028115),Cholinergic neurons of the medial septum are crucial for sensorimotor gating.
"the involvement of d1 and d2 dopamine receptors in the restoration effect of left frontal anodal, but not cathodal, tdcs on streptozocin-induced amnesia.",amnesia sch23390 streptozotocin sulpiride tdcs,"the involvement of d1 and d2 dopamine receptors in the restoration effect of left frontal anodal, but not cathodal, tdcs on streptozocin-induced amnesia.",NEURAL,"Roostaei A, Vaezi G, Nasehi M, Haeri-Rohani A, Zarrindast MR,",*Archives of Iranian medicine*,"* [The Involvement of D1 and D2 Dopamine Receptors in the Restoration Effect of Left Frontal Anodal, but not Cathodal, tDCS on Streptozocin-Induced Amnesia.](https://www.ncbi.nlm.nih.gov/pubmed/31029071)","The Involvement of D1 and D2 Dopamine Receptors in the Restoration Effect of Left Frontal Anodal, but not Cathodal, tDCS on Streptozocin-Induced Amnesia."
the effects of a bacterial endotoxin on behavior and sensory-cns-motor circuits in  drosophila melanogaster.,drosophila bacteria integration lipopolysaccharides motor peptidoglycans sensory synapse,the effects of a bacterial endotoxin on behavior and sensory-cns-motor circuits in  drosophila melanogaster.,NEURAL,"Istas O, Greenhalgh A, Cooper R,",*Insects*,* [The Effects of a Bacterial Endotoxin on Behavior and Sensory-CNS-Motor Circuits in <i>Drosophila melanogaster</i>.](https://www.ncbi.nlm.nih.gov/pubmed/31013568),The Effects of a Bacterial Endotoxin on Behavior and Sensory-CNS-Motor Circuits in <i>Drosophila melanogaster</i>.
comparative assessment of the effectiveness of noncompetitive nmda receptor antagonists amantadine and hemantane in morphine withdrawal syndrome model.,amantadine hemantane morphine rats withdrawal syndrome,comparative assessment of the effectiveness of noncompetitive nmda receptor antagonists amantadine and hemantane in morphine withdrawal syndrome model.,NEURAL,"Kolik LG, Konstantinopolsky MA,",*Bulletin of experimental biology and medicine*,* [Comparative Assessment of the Effectiveness of Noncompetitive NMDA Receptor Antagonists Amantadine and Hemantane in Morphine Withdrawal Syndrome Model.](https://www.ncbi.nlm.nih.gov/pubmed/31020587),Comparative Assessment of the Effectiveness of Noncompetitive NMDA Receptor Antagonists Amantadine and Hemantane in Morphine Withdrawal Syndrome Model.
hesperidin alleviates methotrexate-induced memory deficits via hippocampal neurogenesis in adult rats.,hesperidin memory methotrexate neurogenesis,hesperidin alleviates methotrexate-induced memory deficits via hippocampal neurogenesis in adult rats.,NEURAL,"Naewla S, Sirichoat A, Pannangrong W, Chaisawang P, Wigmore P, Welbat JU,",*Nutrients*,* [Hesperidin Alleviates Methotrexate-Induced Memory Deficits via Hippocampal Neurogenesis in Adult Rats.](https://www.ncbi.nlm.nih.gov/pubmed/31027240),Hesperidin Alleviates Methotrexate-Induced Memory Deficits via Hippocampal Neurogenesis in Adult Rats.
peripheral axotomy-induced changes of motor function and histological structure of spinal anterior horn.,peripheral axotomy anterior horn degeneration motor function stereology,peripheral axotomy-induced changes of motor function and histological structure of spinal anterior horn.,NEURAL,"Raoofi A, Abdollahifar MA, Aliaghaei A, Piryaei A, Hejazi F, Sajadi E, Rashidiani-Rashidabadi A, Sadeghi Y,",*European journal of translational myology*,* [Peripheral axotomy-induced changes of motor function and histological structure of spinal anterior horn.](https://www.ncbi.nlm.nih.gov/pubmed/31019660),Peripheral axotomy-induced changes of motor function and histological structure of spinal anterior horn.
"g sα deficiency in the dorsomedial hypothalamus leads to obesity, hyperphagia, and reduced thermogenesis associated with impaired leptin signaling.",g protein hypothalamus obesity sympathetic nervous system thermogenesis,"g sα deficiency in the dorsomedial hypothalamus leads to obesity, hyperphagia, and reduced thermogenesis associated with impaired leptin signaling.",NEURAL,"Chen M, Wilson EA, Cui Z, Sun H, Shrestha YB, Podyma B, Le CH, Naglieri B, Pacak K, Gavrilova O, Weinstein LS,",*Molecular metabolism*,"* [G<sub>s</sub>α deficiency in the dorsomedial hypothalamus leads to obesity, hyperphagia, and reduced thermogenesis associated with impaired leptin signaling.](https://www.ncbi.nlm.nih.gov/pubmed/31014927)","G<sub>s</sub>α deficiency in the dorsomedial hypothalamus leads to obesity, hyperphagia, and reduced thermogenesis associated with impaired leptin signaling."
pericytes: key players in spinal cord injury.,,pericytes: key players in spinal cord injury.,NEURAL,"Picoli CC, Coimbra-Campos LMC, Guerra DAP, Silva WN, Prazeres PHDM, Costa AC, Magno LAV, Romano-Silva MA, Mintz A, Birbrair A,",*The American journal of pathology*,* [Pericytes: key players in spinal cord injury.](https://www.ncbi.nlm.nih.gov/pubmed/31014955),Pericytes: key players in spinal cord injury.
null mutation in p4h-tm leads to decreased fear and anxiety and increased social behavior in mice.,anxiety behavioral despair depression hyperactivity hypoxia-inducible factor prolyl-4-hydroxylases psychopharmacology,null mutation in p4h-tm leads to decreased fear and anxiety and increased social behavior in mice.,NEURAL,"Leinonen H, Koivisto H, Lipponen HR, Matilainen A, Salo AM, Dimova EY, Hämäläinen E, Stavén S, Miettinen P, Myllyharju J, Koivunen P, Tanila H,",*Neuropharmacology*,* [Null mutation in P4h-tm leads to decreased fear and anxiety and increased social behavior in mice.](https://www.ncbi.nlm.nih.gov/pubmed/31029587),Null mutation in P4h-tm leads to decreased fear and anxiety and increased social behavior in mice.
molybdenum disulfide nanoflowers mediated anti-inflammation macrophage modulation for spinal cord injury treatment.,anti-inflammatory activity drug delivery locomotor recovery mos(2) nanoflowers spinal cord injury,molybdenum disulfide nanoflowers mediated anti-inflammation macrophage modulation for spinal cord injury treatment.,NEURAL,"Sun G, Yang S, Cai H, Shu Y, Han Q, Wang B, Li Z, Zhou L, Gao Q, Yin Z,",*Journal of colloid and interface science*,* [Molybdenum disulfide nanoflowers mediated anti-inflammation macrophage modulation for spinal cord injury treatment.](https://www.ncbi.nlm.nih.gov/pubmed/31015056),Molybdenum disulfide nanoflowers mediated anti-inflammation macrophage modulation for spinal cord injury treatment.
glutamate spillover in c. elegans triggers repetitive behavior through presynaptic activation of mgl-2/mglur5.,,glutamate spillover in c. elegans triggers repetitive behavior through presynaptic activation of mgl-2/mglur5.,NEURAL,"Katz M, Corson F, Keil W, Singhal A, Bae A, Lu Y, Liang Y, Shaham S,",*Nature communications*,* [Glutamate spillover in C. elegans triggers repetitive behavior through presynaptic activation of MGL-2/mGluR5.](https://www.ncbi.nlm.nih.gov/pubmed/31015396),Glutamate spillover in C. elegans triggers repetitive behavior through presynaptic activation of MGL-2/mGluR5.
the  drosophila apterous<sup>56f</sup> mutation impairs circadian locomotor activity.,drosophila apterous circadian eclosion gene expression locomotor activity,the  drosophila apterous<sup>56f</sup> mutation impairs circadian locomotor activity.,NEURAL,"Mayumi K, Danielle B, Lisa L, Alexanda F, Nathan C, Boyang Q, Ahmad ST, Bernard P,",*Biological rhythm research*,* [The <i>Drosophila apterous</i><sup>56f</sup> mutation impairs circadian locomotor activity.](https://www.ncbi.nlm.nih.gov/pubmed/31011241),The <i>Drosophila apterous</i><sup>56f</sup> mutation impairs circadian locomotor activity.
effects of exercise on mglur-mediated glutamatergic transmission in the striatum of hemiparkinsonian rats.,parkinson’s disease corticostriatal exercise glutamate mglurs rats,effects of exercise on mglur-mediated glutamatergic transmission in the striatum of hemiparkinsonian rats.,NEURAL,"Shi K, Liu X, Hou L, Qiao D, Lin X,",*Neuroscience letters*,* [Effects of exercise on mGluR-mediated glutamatergic transmission in the striatum of hemiparkinsonian rats.](https://www.ncbi.nlm.nih.gov/pubmed/31029678),Effects of exercise on mGluR-mediated glutamatergic transmission in the striatum of hemiparkinsonian rats.
"8-oxoguanine accumulation in aged female brain impairs neurogenesis in the dentate gyrus and major island of calleja, causing sexually dimorphic phenotypes.",8-oxoguanine adult neurogenesis cognitive impairment dopamine receptor d3 major island of calleja spontaneous locomotion,"8-oxoguanine accumulation in aged female brain impairs neurogenesis in the dentate gyrus and major island of calleja, causing sexually dimorphic phenotypes.",NEURAL,"Haruyama N, Sakumi K, Katogi A, Tsuchimoto D, De Luca G, Bignami M, Nakabeppu Y,",*Progress in neurobiology*,"* [8-Oxoguanine accumulation in aged female brain impairs neurogenesis in the dentate gyrus and major island of Calleja, causing sexually dimorphic phenotypes.](https://www.ncbi.nlm.nih.gov/pubmed/31026482)","8-Oxoguanine accumulation in aged female brain impairs neurogenesis in the dentate gyrus and major island of Calleja, causing sexually dimorphic phenotypes."
ppar- γ activation exerts an anti-inflammatory effect by suppressing the nlrp3 inflammasome in spinal cord-derived neurons.,,ppar- γ activation exerts an anti-inflammatory effect by suppressing the nlrp3 inflammasome in spinal cord-derived neurons.,NEURAL,"Meng QQ, Feng ZC, Zhang XL, Hu LQ, Wang M, Zhang HF, Li SM,",*Mediators of inflammation*,* [PPAR-<i>γ</i> Activation Exerts an Anti-inflammatory Effect by Suppressing the NLRP3 Inflammasome in Spinal Cord-Derived Neurons.](https://www.ncbi.nlm.nih.gov/pubmed/31015796),PPAR-<i>γ</i> Activation Exerts an Anti-inflammatory Effect by Suppressing the NLRP3 Inflammasome in Spinal Cord-Derived Neurons.
swimming induced paralysis to assess dopamine signaling in caenorhabditis elegans.,,swimming induced paralysis to assess dopamine signaling in caenorhabditis elegans.,NEURAL,"Kudumala S, Sossi S, Carvelli L,",*Journal of visualized experiments : JoVE*,* [Swimming Induced Paralysis to Assess Dopamine Signaling in Caenorhabditis elegans.](https://www.ncbi.nlm.nih.gov/pubmed/31009010),Swimming Induced Paralysis to Assess Dopamine Signaling in Caenorhabditis elegans.
the noonan syndrome-linked raf1l613v mutation drives increased glial number in the mouse cortex and enhanced learning.,,the noonan syndrome-linked raf1l613v mutation drives increased glial number in the mouse cortex and enhanced learning.,NEURAL,"Holter MC, Hewitt LT, Koebele SV, Judd JM, Xing L, Bimonte-Nelson HA, Conrad CD, Araki T, Neel BG, Snider WD, Newbern JM,",*PLoS genetics*,* [The Noonan Syndrome-linked Raf1L613V mutation drives increased glial number in the mouse cortex and enhanced learning.](https://www.ncbi.nlm.nih.gov/pubmed/31017896),The Noonan Syndrome-linked Raf1L613V mutation drives increased glial number in the mouse cortex and enhanced learning.
glutamatergic neurons of the gigantocellular reticular nucleus shape locomotor pattern and rhythm in the freely behaving mouse.,,glutamatergic neurons of the gigantocellular reticular nucleus shape locomotor pattern and rhythm in the freely behaving mouse.,NEURAL,"Lemieux M, Bretzner F,",*PLoS biology*,* [Glutamatergic neurons of the gigantocellular reticular nucleus shape locomotor pattern and rhythm in the freely behaving mouse.](https://www.ncbi.nlm.nih.gov/pubmed/31017885),Glutamatergic neurons of the gigantocellular reticular nucleus shape locomotor pattern and rhythm in the freely behaving mouse.
"sexual cues influence cocaine-induced locomotion, anxiety and the immunoreactivity of estrogen receptor alpha and tyrosine hydroxylase in both sexes.",anxiety dopamine estrogen receptors locomotion,"sexual cues influence cocaine-induced locomotion, anxiety and the immunoreactivity of estrogen receptor alpha and tyrosine hydroxylase in both sexes.",NEURAL,"He C, Wang J, Ma M, Wang H,",*Journal of neuroendocrinology*,"* [Sexual cues influence cocaine-induced locomotion, anxiety and the immunoreactivity of estrogen receptor alpha and tyrosine hydroxylase in both sexes.](https://www.ncbi.nlm.nih.gov/pubmed/31009113)","Sexual cues influence cocaine-induced locomotion, anxiety and the immunoreactivity of estrogen receptor alpha and tyrosine hydroxylase in both sexes."
low field magnetic stimulation restores cognitive and motor functions in the mouse model of repeated traumatic brain injury: role of cellular prion protein.,animal studies behavioral assessments glia cell response to injury locomotor function traumatic brain injury,low field magnetic stimulation restores cognitive and motor functions in the mouse model of repeated traumatic brain injury: role of cellular prion protein.,NEURAL,"Sekar S, Zhang Y, Miranzadeh Mahabadi H, Parvizi A, Taghibiglou C,",*Journal of neurotrauma*,* [Low Field Magnetic Stimulation Restores Cognitive and Motor Functions in the Mouse Model of Repeated Traumatic Brain Injury: Role of Cellular Prion Protein.](https://www.ncbi.nlm.nih.gov/pubmed/31020907),Low Field Magnetic Stimulation Restores Cognitive and Motor Functions in the Mouse Model of Repeated Traumatic Brain Injury: Role of Cellular Prion Protein.
the time-course of functional changes in locomotor and sensory systems after spinal cord lesions in lamprey.,lamprey plasticity spinal cord injury synapse,the time-course of functional changes in locomotor and sensory systems after spinal cord lesions in lamprey.,NEURAL,"Parker D, Becker MI,",*Journal of neurophysiology*,* [The time-course of functional changes in locomotor and sensory systems after spinal cord lesions in lamprey.](https://www.ncbi.nlm.nih.gov/pubmed/31017839),The time-course of functional changes in locomotor and sensory systems after spinal cord lesions in lamprey.
the effect of silymarin supplementation on cognitive impairment induced by diabetes in rats.,bdnf hdac3 cognitive function diabetes learning silymarin,the effect of silymarin supplementation on cognitive impairment induced by diabetes in rats.,NEURAL,"Yön B, Belviranlı M, Okudan N,",*Journal of basic and clinical physiology and pharmacology*,* [The effect of silymarin supplementation on cognitive impairment induced by diabetes in rats.](https://www.ncbi.nlm.nih.gov/pubmed/31017870),The effect of silymarin supplementation on cognitive impairment induced by diabetes in rats.
dopamine d1-like receptors regulate agonistic components of pair bond maintenance behaviors in male titi monkeys (callicebus cupreus).,dopamine intruder paradigm mate guarding nonhuman primate pair bond maintenance sch23390,dopamine d1-like receptors regulate agonistic components of pair bond maintenance behaviors in male titi monkeys (callicebus cupreus).,NEURAL,"Rothwell ES, Mendoza SP, Ragen BJ, Bales KL,",*Psychoneuroendocrinology*,* [Dopamine D1-like receptors regulate agonistic components of pair bond maintenance behaviors in male titi monkeys (Callicebus cupreus).](https://www.ncbi.nlm.nih.gov/pubmed/31022585),Dopamine D1-like receptors regulate agonistic components of pair bond maintenance behaviors in male titi monkeys (Callicebus cupreus).
cholinergic modulation of motor neurons through the c-boutons are necessary for the locomotor compensation for severe motor neuron loss during amyotrophic lateral sclerosis disease progression.,"amyotrophic lateral sclerosis c-bouton, locomotion cholinergic modulation",cholinergic modulation of motor neurons through the c-boutons are necessary for the locomotor compensation for severe motor neuron loss during amyotrophic lateral sclerosis disease progression.,NEURAL,"Landoni LM, Myles JR, Wells TL, Mayer WP, Akay T,",*Behavioural brain research*,* [Cholinergic modulation of motor neurons through the C-boutons are necessary for the locomotor compensation for severe motor neuron loss during amyotrophic lateral sclerosis disease progression.](https://www.ncbi.nlm.nih.gov/pubmed/31022419),Cholinergic modulation of motor neurons through the C-boutons are necessary for the locomotor compensation for severe motor neuron loss during amyotrophic lateral sclerosis disease progression.
rewiring the  drosophila brain with genetic manipulations in neural lineages.,drosophila notch-signaling central complex circuits neural diversity neuroblasts spatial patterning temporal patterning,rewiring the  drosophila brain with genetic manipulations in neural lineages.,NEURAL,"Sullivan LF,",*Frontiers in molecular neuroscience*,* [Rewiring the <i>Drosophila</i> Brain With Genetic Manipulations in Neural Lineages.](https://www.ncbi.nlm.nih.gov/pubmed/31019451),Rewiring the <i>Drosophila</i> Brain With Genetic Manipulations in Neural Lineages.
oral gavage of capsaicin causes trpv1-dependent acute hypothermia and trpv1-independent long-lasting increase of locomotor activity in the mouse.,brain hypothalamus spice trpv1 thermoregulation,oral gavage of capsaicin causes trpv1-dependent acute hypothermia and trpv1-independent long-lasting increase of locomotor activity in the mouse.,NEURAL,"Inagaki H, Kurganov E, Park Y, Furube E, Miyata S,",*Physiology & behavior*,* [Oral gavage of capsaicin causes TRPV1-dependent acute hypothermia and TRPV1-independent long-lasting increase of locomotor activity in the mouse.](https://www.ncbi.nlm.nih.gov/pubmed/31009639),Oral gavage of capsaicin causes TRPV1-dependent acute hypothermia and TRPV1-independent long-lasting increase of locomotor activity in the mouse.
primary cell culture of adult zebrafish spinal neurons for electrophysiological studies.,adult zebrafish calcium imaging cell culture electrophysiology patch clamp spinal cord,primary cell culture of adult zebrafish spinal neurons for electrophysiological studies.,NEURAL,"Meade ME, Roginsky JE, Schulz JR,",*Journal of neuroscience methods*,* [Primary cell culture of adult zebrafish spinal neurons for electrophysiological studies.](https://www.ncbi.nlm.nih.gov/pubmed/31028770),Primary cell culture of adult zebrafish spinal neurons for electrophysiological studies.
biomechanical experimental study on brace with stiletto needle therapy for scoliosis., biomechanics   orthotic devices   scoliosis ,biomechanical experimental study on brace with stiletto needle therapy for scoliosis.,ORTHOPAEDICS/SPINE,"Zhu XH, Xu RF, Hu K,",*Zhongguo gu shang = China journal of orthopaedics and traumatology*,* [[Biomechanical experimental study on brace with stiletto needle therapy for scoliosis].](https://www.ncbi.nlm.nih.gov/pubmed/31027409),
"tandem disc herniation of the lumbar and cervical spine: case series and review of the epidemiological, pathophysiological and genetic literature.",biomechanics degenerative disc disease disc degeneration disc herniation epidemiology genetics intervertebral multisegment pathophysiology tandem,"tandem disc herniation of the lumbar and cervical spine: case series and review of the epidemiological, pathophysiological and genetic literature.",ORTHOPAEDICS/SPINE,"Siccoli A, Staartjes VE, De Wispelaere MP, Vergroesen PA, Schröder ML,",*Cureus*,"* [Tandem Disc Herniation of the Lumbar and Cervical Spine: Case Series and Review of the Epidemiological, Pathophysiological and Genetic Literature.](https://www.ncbi.nlm.nih.gov/pubmed/31019859)","Tandem Disc Herniation of the Lumbar and Cervical Spine: Case Series and Review of the Epidemiological, Pathophysiological and Genetic Literature."
in vivo three-dimensional kinematics of the cervical spine during maximal active head rotation.,,in vivo three-dimensional kinematics of the cervical spine during maximal active head rotation.,ORTHOPAEDICS/SPINE,"Kang J, Chen G, Zhai X, He X,",*PloS one*,* [In vivo three-dimensional kinematics of the cervical spine during maximal active head rotation.](https://www.ncbi.nlm.nih.gov/pubmed/30990826),In vivo three-dimensional kinematics of the cervical spine during maximal active head rotation.
the influence of bilateral pedicle screw fixation on vibration response of the disc degenerated human lumbar spine: a finite element stress analysis.,disc degeneration finite element model human lumbar spine pedicle screw fixation stress responses whole body vibration,the influence of bilateral pedicle screw fixation on vibration response of the disc degenerated human lumbar spine: a finite element stress analysis.,ORTHOPAEDICS/SPINE,"Fan W, Guo LX,",*Technology and health care : official journal of the European Society for Engineering and Medicine*,* [The influence of bilateral pedicle screw fixation on vibration response of the disc degenerated human lumbar spine: A finite element stress analysis.](https://www.ncbi.nlm.nih.gov/pubmed/31033465),The influence of bilateral pedicle screw fixation on vibration response of the disc degenerated human lumbar spine: A finite element stress analysis.
